query_id,query,num_relevant,relevant_ids
q_964140,What is the difference between the current state of drug formulary accessibility and the proposed improvements in terms of their potential impact on patient care and medication adherence?,12,J Gen Intern Med. 2025 Nov 12. doi: 10.1007/s11606-025-10029-3.; J Gen Intern Med. 2025 Nov 12. doi: 10.1007/s11606-025-10029-3.; J Gen Intern Med. 2025 Nov 12. doi: 10.1007/s11606-025-10029-3.; BMC Neurol. 2025 Nov 7;25(1):459. doi: 10.1186/s12883-025-04474-0.; Expert Rev Pharmacoecon Outcomes Res. 2025 Nov 12:1-8. doi:
q_608501,What is the main difference between gastric leiomyosarcoma and gastrointestinal stromal tumor (GIST) in terms of histological and immunohistochemical features?,6,Cureus. 2025 Oct 8;17(10):e94111. doi: 10.7759/cureus.94111. eCollection 2025; Cureus. 2025 Oct 8;17(10):e94111. doi: 10.7759/cureus.94111. eCollection 2025; Cureus. 2025 Oct 8;17(10):e94111. doi: 10.7759/cureus.94111. eCollection 2025; World J Gastrointest Surg. 2025 Oct 27;17(10):111558. doi:; Adv Sci (Weinh). 2025 Nov 13:e14482. doi: 10.1002/advs.202514482.
q_085100,When should ophthalmological surveillance be prioritized in preterm infants to prevent long-term visual impairments?,10,Surv Ophthalmol. 2025 Nov 11:S0039-6257(25)00214-0. doi:; Surv Ophthalmol. 2025 Nov 11:S0039-6257(25)00214-0. doi:; Health Sci Rep. 2025 Nov 9;8(11):e71490. doi: 10.1002/hsr2.71490. eCollection; Sci Rep. 2025 Nov 13;15(1):39834. doi: 10.1038/s41598-025-23462-5.; Surv Ophthalmol. 2025 Nov 11:S0039-6257(25)00214-0. doi:
q_793041,What forms does co-management by hematologists and geriatricians take depending on the underlying hematological pathology and the treatments considered in oncogeriatrics?,8,Soins Gerontol. 2025 Nov-Dec;30(176):10-15. doi: 10.1016/j.sger.2025.09.005. Epub; J Gerontol A Biol Sci Med Sci. 2025 Nov 9:glaf251. doi: 10.1093/gerona/glaf251.; Cancers (Basel). 2025 Oct 28;17(21):3467. doi: 10.3390/cancers17213467.; Cancers (Basel). 2025 Oct 28;17(21):3467. doi: 10.3390/cancers17213467.; Cardiol Rev. 2025 Nov 12. doi: 10.1097/CRD.0000000000001121.
q_729024,What are the criteria for selecting a safe and effective contraceptive option in a breast cancer survivor with a history of hormonal-sensitive breast cancer?,7,Obstet Gynecol Surv. 2025 Nov 1;80(11):711-716. doi:; Obstet Gynecol Surv. 2025 Nov 1;80(11):711-716. doi:; Obstet Gynecol Surv. 2025 Nov 1;80(11):711-716. doi:; Obstet Gynecol Surv. 2025 Nov 1;80(11):711-716. doi:; Cancers (Basel). 2025 Oct 30;17(21):3498. doi: 10.3390/cancers17213498.
q_606980,What is the proposed non-pharmacological strategy for delaying osteoarthritis progression suggested by this study?,13,Front Public Health. 2025 Oct 28;13:1661674. doi: 10.3389/fpubh.2025.1661674.; Front Physiol. 2025 Oct 29;16:1633618. doi: 10.3389/fphys.2025.1633618.; Front Physiol. 2025 Oct 29;16:1633618. doi: 10.3389/fphys.2025.1633618.; Transl Cancer Res. 2025 Oct 31;14(10):6907-6918. doi: 10.21037/tcr-2025-639. Epub; Front Public Health. 2025 Oct 28;13:1661674. doi: 10.3389/fpubh.2025.1661674.
q_085458,What are the diagnostic criteria for coronary microvascular dysfunction based on adenosine stress cardiovascular MRI findings in patients with chest pain and unobstructed coronary arteries?,11,Nat Med. 2025 Nov 10. doi: 10.1038/s41591-025-04044-4.; Int J Cardiovasc Imaging. 2025 Nov 13. doi: 10.1007/s10554-025-03563-y.; Eur Heart J. 2025 Nov 11:ehaf839. doi: 10.1093/eurheartj/ehaf839.; Ann Transplant. 2025 Nov 11;30:e950138. doi: 10.12659/AOT.950138.; Circulation. 2025 Nov 10. doi: 10.1161/CIR.0000000000001394.
q_781824,What is the proposed mechanism by which genetic correlations and pleiotropy contribute to the shared genetic architecture of cancer and other complex diseases?,11,J Cancer. 2025 Oct 10;16(14):4245-4256. doi: 10.7150/jca.111126. eCollection; Nat Neurosci. 2025 Nov 11. doi: 10.1038/s41593-025-02090-2.; J Affect Disord. 2025 Nov 11:120639. doi: 10.1016/j.jad.2025.120639.; Medicine (Baltimore). 2025 Oct 17;104(42):e45072. doi:; Nat Neurosci. 2025 Nov 11. doi: 10.1038/s41593-025-02090-2.
q_111562,What is the difference in the impact of media campaigns on antibiotic use behaviors when pharmacists are integrated into campaign planning and delivery versus when they are not?,7,Infect Drug Resist. 2025 Nov 8;18:5817-5828. doi: 10.2147/IDR.S566496.; Infect Drug Resist. 2025 Nov 8;18:5817-5828. doi: 10.2147/IDR.S566496.; Infect Drug Resist. 2025 Nov 8;18:5817-5828. doi: 10.2147/IDR.S566496.; Eur J Med Res. 2025 Nov 12;30(1):1117. doi: 10.1186/s40001-025-03289-6.; BMC Neurol. 2025 Nov 7;25(1):459. doi: 10.1186/s12883-025-04474-0.
q_387731,What is the recommended approach to ensure equitable access and maximize the benefits of digital mental health care in patients with varying digital health literacy (DHL) levels?,14,Front Psychiatry. 2025 Oct 14;16:1651938. doi: 10.3389/fpsyt.2025.1651938.; Cureus. 2025 Oct 10;17(10):e94276. doi: 10.7759/cureus.94276. eCollection 2025; Front Psychiatry. 2025 Oct 14;16:1651938. doi: 10.3389/fpsyt.2025.1651938.; Cureus. 2025 Oct 10;17(10):e94276. doi: 10.7759/cureus.94276. eCollection 2025; Digit Health. 2025 Nov 11;11:20552076251396986. doi: 10.1177/20552076251396986.
