query_id,query,num_relevant,relevant_ids
q_019506,"When should domain-specific dispersion be used to predict progression to mild cognitive impairment and dementia in patients, particularly in scenarios where controlling for demographics, ApoE4 status, and MMSE is necessary?",14,Clin Neuropsychol. 2025 Nov 12:1-25. doi: 10.1080/13854046.2025.2577149.; Clin Neuropsychol. 2025 Nov 12:1-25. doi: 10.1080/13854046.2025.2577149.; Clin Neuropsychol. 2025 Nov 12:1-25. doi: 10.1080/13854046.2025.2577149.; Clin Neuropsychol. 2025 Nov 12:1-25. doi: 10.1080/13854046.2025.2577149.; Comput Methods Programs Biomed. 2025 Nov 11;274:109162. doi:
q_537961,What is the difference in median time to sputum culture conversion between smear-positive and smear-negative samples?,5,BMC Pulm Med. 2025 Nov 11;25(1):518. doi: 10.1186/s12890-025-03986-2.; BMC Pulm Med. 2025 Nov 11;25(1):518. doi: 10.1186/s12890-025-03986-2.; BMC Pulm Med. 2025 Nov 11;25(1):518. doi: 10.1186/s12890-025-03986-2.; BMC Pulm Med. 2025 Nov 11;25(1):518. doi: 10.1186/s12890-025-03986-2.; Open Forum Infect Dis. 2025 Nov 12;12(11):ofaf664. doi: 10.1093/ofid/ofaf664.
q_673630,What are the differences in how professional bodies and national societies define and support radiographer practice in interventional radiology and interventional cardiology across European countries?,4,Radiography (Lond). 2025 Nov 13:103236. doi: 10.1016/j.radi.2025.103236.; Radiography (Lond). 2025 Nov 13:103236. doi: 10.1016/j.radi.2025.103236.; Radiography (Lond). 2025 Nov 13:103236. doi: 10.1016/j.radi.2025.103236.; Radiography (Lond). 2025 Nov 13:103236. doi: 10.1016/j.radi.2025.103236.
q_389443,"How does the fibrinolytic system modulate outcome after liver, kidney, and lung transplantation through its role in fibrin formation and dissolution?",6,Arterioscler Thromb Vasc Biol. 2025 Nov 13. doi: 10.1161/ATVBAHA.125.321621.; Arterioscler Thromb Vasc Biol. 2025 Nov 13. doi: 10.1161/ATVBAHA.125.321621.; Arterioscler Thromb Vasc Biol. 2025 Nov 13. doi: 10.1161/ATVBAHA.125.321621.; TH Open. 2025 Oct 29;9:a27199152. doi: 10.1055/a-2719-9152. eCollection 2025.; TH Open. 2025 Oct 29;9:a27199152. doi: 10.1055/a-2719-9152. eCollection 2025.
q_956141,"What are the most commonly reported adverse events associated with cefotaxime, ceftazidime, and cefdinir, respectively, according to the FDA adverse event reporting system database?",4,Medicine (Baltimore). 2025 Nov 7;104(45):e45778. doi:; Medicine (Baltimore). 2025 Nov 7;104(45):e45778. doi:; Medicine (Baltimore). 2025 Nov 7;104(45):e45778. doi:; 2024-385. TASO REC is accredited by the Uganda
q_005893,What is the mechanism by which radiomic features extracted from contrast-enhancing tumor regions on pre-radiotherapy MRI across multiple imaging sequences provide prognostic value in glioblastoma patients?,9,Eur J Med Res. 2025 Nov 14;30(1):1121. doi: 10.1186/s40001-025-03333-5.; Eur J Med Res. 2025 Nov 14;30(1):1121. doi: 10.1186/s40001-025-03333-5.; Eur J Med Res. 2025 Nov 14;30(1):1121. doi: 10.1186/s40001-025-03333-5.; Front Cell Dev Biol. 2025 Oct 29;13:1673498. doi: 10.3389/fcell.2025.1673498.; Eur Radiol Exp. 2025 Nov 14;9(1):111. doi: 10.1186/s41747-025-00652-4.
q_326194,"In urban HIV care settings, what strategies can be employed to enhance vaccination rates, considering the complexities of measuring intervention impacts in real-world settings?",11,AIDS Behav. 2025 Nov 12. doi: 10.1007/s10461-025-04948-9.; AIDS Behav. 2025 Nov 12. doi: 10.1007/s10461-025-04948-9.; AIDS Behav. 2025 Nov 12. doi: 10.1007/s10461-025-04948-9.; BMC Public Health. 2025 Nov 10;25(1):3885. doi: 10.1186/s12889-025-25017-9.; Pan Afr Med J. 2025 Jun 11;51(Suppl 1):2. doi:
q_634210,"What is the feasibility of conducting a fully virtual Community Health Assessment Tool (CHAT) remotely, according to the study published in Health Expectation in 2025?",1,Health Expect. 2025 Dec;28(6):e70487. doi: 10.1111/hex.70487.
q_085722,"In what scenarios should virtual fixtures (VFs) be utilized to optimize surgical performance and training, particularly in complex surgical procedures such as neurosurgery and fetal laser surgery?",4,Comput Biol Med. 2025 Nov 12;199:111294. doi: 10.1016/j.compbiomed.2025.111294.; Comput Biol Med. 2025 Nov 12;199:111294. doi: 10.1016/j.compbiomed.2025.111294.; Comput Biol Med. 2025 Nov 12;199:111294. doi: 10.1016/j.compbiomed.2025.111294.; World J Surg Oncol. 2025 Nov 13;23(1):433. doi: 10.1186/s12957-025-04087-4.
q_634093,What are the key factors to consider when differentiating between focal atrial tachycardia and atrial flutter in neonates to guide proper diagnosis and therapy?,4,Clin Perinatol. 2025 Dec;52(4):731-746. doi: 10.1016/j.clp.2025.08.006. Epub 2025; J Cardiovasc Dev Dis. 2025 Oct 1;12(10):386. doi: 10.3390/jcdd12100386.; BMC Cardiovasc Disord. 2025 Nov 7;25(1):791. doi: 10.1186/s12872-025-05275-6.; Card Electrophysiol Clin. 2025 Dec;17(4):509-529. doi:
q_333750,"What is the mechanism by which prenatal diagnosis of isolated right aortic arch (iRAA) influences postnatal vascular ring management, particularly in relation to symptom development and surgical referral?",3,Pediatr Pulmonol. 2025 Nov;60(11):e71381. doi: 10.1002/ppul.71381.; Pediatr Pulmonol. 2025 Nov;60(11):e71381. doi: 10.1002/ppul.71381.; Pediatr Pulmonol. 2025 Nov;60(11):e71381. doi: 10.1002/ppul.71381.
q_116514,What is the proposed mechanism by which trochanteric fractures occur in patients undergoing robotic-assisted total hip arthroplasty with proximal femoral array screw placement?,4,Ann Jt. 2025 Oct 22;10:43. doi: 10.21037/aoj-25-5. eCollection 2025.; Ann Jt. 2025 Oct 22;10:43. doi: 10.21037/aoj-25-5. eCollection 2025.; Ann Jt. 2025 Oct 22;10:43. doi: 10.21037/aoj-25-5. eCollection 2025.; Zhongguo Gu Shang. 2025 Oct 25;38(10):1001-8. doi:
q_987191,What is the proposed mechanism by which the aryl hydrocarbon receptor (AHR) protects against the damaging effects of cigarette smoke in chronic obstructive pulmonary disease (COPD) by attenuating pulmonary neutrophilia?,8,J Immunol. 2025 Nov 9:vkaf280. doi: 10.1093/jimmun/vkaf280.; J Immunol. 2025 Nov 9:vkaf280. doi: 10.1093/jimmun/vkaf280.; J Immunol. 2025 Nov 9:vkaf280. doi: 10.1093/jimmun/vkaf280.; J Immunol. 2025 Nov 9:vkaf280. doi: 10.1093/jimmun/vkaf280.; Int J Chron Obstruct Pulmon Dis. 2025 Oct 30;20:3545-3557. doi:
q_256940,What are the key architectural differences between traditional centralized digital health ecosystems and decentralized digital health ecosystems that enable AI-enhanced applications?,5,Front Digit Health. 2025 Oct 27;7:1685628. doi: 10.3389/fdgth.2025.1685628.; Front Digit Health. 2025 Oct 27;7:1685628. doi: 10.3389/fdgth.2025.1685628.; Digit Health. 2025 Nov 11;11:20552076251395551. doi: 10.1177/20552076251395551.; Healthcare (Basel). 2025 Oct 10;13(20):2553. doi: 10.3390/healthcare13202553.; Healthcare (Basel). 2025 Oct 30;13(21):2753. doi: 10.3390/healthcare13212753.
q_779784,What was the effect of metformin on free testosterone levels in male type 2 diabetes mellitus (T2DM) patients after 30 days of treatment?,4,Medicine (Baltimore). 2025 Nov 7;104(45):e44989. doi:; Medicine (Baltimore). 2025 Nov 7;104(45):e44989. doi:; Medicine (Baltimore). 2025 Nov 7;104(45):e44989. doi:; Transl Androl Urol. 2025 Oct 31;14(10):3387-3401. doi: 10.21037/tau-2025-440.
q_797971,"In a post-cardiac surgery patient with a history of ventricular septal defect repair, what are the key echocardiography findings that suggest a diagnosis of focal constrictive pericarditis presenting with biventricular failure?",1,J Saudi Heart Assoc. 2025 Oct 31;37(4):1463. doi: 10.37616/2212-5043.1463.
q_881417,"In patients experiencing out-of-hospital cardiac arrest (OHCA), what sex-specific differences in initial rhythm are observed, and how do substance use disorders and atrial fibrillation impact these differences?",7,Resuscitation. 2025 Nov 11:110894. doi: 10.1016/j.resuscitation.2025.110894.; Resuscitation. 2025 Nov 11:110894. doi: 10.1016/j.resuscitation.2025.110894.; Resuscitation. 2025 Nov 11:110894. doi: 10.1016/j.resuscitation.2025.110894.; Heart. 2025 Nov 6:heartjnl-2025-326987. doi: 10.1136/heartjnl-2025-326987.; Heart. 2025 Nov 6:heartjnl-2025-326987. doi: 10.1136/heartjnl-2025-326987.
q_943227,"What is the recommended approach for managing inflammatory bowel disease in patients from preconception to pregnancy, and how should treatment be adjusted during this period?",10,Expert Rev Gastroenterol Hepatol. 2025 Oct 22:1-12. doi:; Expert Rev Gastroenterol Hepatol. 2025 Oct 22:1-12. doi:; Expert Rev Gastroenterol Hepatol. 2025 Oct 22:1-12. doi:; Rev Med Suisse. 2025 Aug 27;21(928):1506-1510. doi:; United European Gastroenterol J. 2025 Oct 14. doi: 10.1002/ueg2.70122.
q_071875,What is the association between fever and infections in early life and the subsequent risk of developing atopic diseases?,12,Pediatr Allergy Immunol. 2025 Oct;36(10):e70209. doi: 10.1111/pai.70209.; Pediatr Allergy Immunol. 2025 Oct;36(10):e70209. doi: 10.1111/pai.70209.; Pediatr Allergy Immunol. 2025 Oct;36(10):e70209. doi: 10.1111/pai.70209.; Br J Dermatol. 2025 Oct 31:ljaf416. doi: 10.1093/bjd/ljaf416.; Pediatr Allergy Immunol. 2025 Sep;36(9):e70203. doi: 10.1111/pai.70203.
q_660914,"What are the main mechanisms by which priorities are identified in healthcare settings, according to the analysis of priority setting approaches?",5,BMJ Public Health. 2024 Dec 12;2(2):e001097. doi: 10.1136/bmjph-2024-001097.; BMJ Public Health. 2024 Dec 12;2(2):e001097. doi: 10.1136/bmjph-2024-001097.; Learn Health Syst. 2025 May 14;9(4):e70016. doi: 10.1002/lrh2.70016. eCollection; BMC Med Ethics. 2025 Oct 27;26(1):148. doi: 10.1186/s12910-025-01305-2.; BMC Med Ethics. 2025 Oct 27;26(1):148. doi: 10.1186/s12910-025-01305-2.
