query,retrieved_doc_ids,relevant_doc_ids,num_retrieved,num_relevant_ground_truth,num_relevant_found,precision@1,recall@1,precision@3,recall@3,precision@5,recall@5,precision@10,recall@10,mrr,average_precision
What is the pathophysiology of Type 1 diabetes?,"['Int J Mol Sci. 2025 Nov 6;26(21):10788. doi: 10.3390/ijms262110788.', 'Int J Mol Sci. 2025 Nov 6;26(21):10788. doi: 10.3390/ijms262110788.', 'Front Immunol. 2025 Oct 29;16:1664255. doi: 10.3389/fimmu.2025.1664255.', 'Diabetologia. 2025 Nov 8. doi: 10.1007/s00125-025-06573-6.', 'Pain Rep. 2025 Nov 11;10(6):e1356. doi: 10.1097/PR9.0000000000001356. eCollection', 'Cells. 2025 Oct 22;14(21):1644. doi: 10.3390/cells14211644.', 'BMJ Open. 2025 Nov 12;15(11):e103486. doi: 10.1136/bmjopen-2025-103486.', 'J Clin Med. 2025 Oct 23;14(21):7490. doi: 10.3390/jcm14217490.', 'Diabetes. 2025 Nov 14:db250801. doi: 10.2337/db25-0801.', 'Int J Mol Sci. 2025 Oct 22;26(21):10264. doi: 10.3390/ijms262110264.', 'Int J Mol Sci. 2025 Oct 30;26(21):10598. doi: 10.3390/ijms262110598.', 'Front Endocrinol (Lausanne). 2025 Oct 23;16:1626191. doi:', 'JBMR Plus. 2025 Oct 22;9(12):ziaf167. doi: 10.1093/jbmrpl/ziaf167. eCollection', 'Endocrinol Diabetes Metab. 2025 Nov;8(6):e70120. doi: 10.1002/edm2.70120.', 'Int J Mol Sci. 2025 Oct 22;26(21):10245. doi: 10.3390/ijms262110245.', 'Pediatr Endocrinol Diabetes Metab. 2025;31(3):83-88. doi:', 'Front Endocrinol (Lausanne). 2025 Oct 23;16:1626191. doi:', 'Endocrinol Diabetes Metab. 2025 Nov;8(6):e70120. doi: 10.1002/edm2.70120.', 'Front Endocrinol (Lausanne). 2025 Oct 29;16:1690478. doi:', 'J Biochem. 2025 Nov 12:mvaf069. doi: 10.1093/jb/mvaf069.']","['Int J Mol Sci. 2025 Nov 6;26(21):10788. doi: 10.3390/ijms262110788.', 'Int J Mol Sci. 2025 Nov 6;26(21):10788. doi: 10.3390/ijms262110788.', 'Front Immunol. 2025 Oct 29;16:1664255. doi: 10.3389/fimmu.2025.1664255.', 'BMJ Open. 2025 Nov 12;15(11):e103486. doi: 10.1136/bmjopen-2025-103486.', 'J Clin Med. 2025 Oct 23;14(21):7490. doi: 10.3390/jcm14217490.']",20,5,4,1,0.2,0.6666666666666666,0.4,0.4,0.4,0.4,0.8,1,0.5190476190476191
What are the first-line treatments for hypertension?,"['Ther Adv Respir Dis. 2025 Jan-Dec;19:17534666251390070. doi:', 'Cureus. 2025 Oct 8;17(10):e94130. doi: 10.7759/cureus.94130. eCollection 2025', 'High Blood Press Cardiovasc Prev. 2025 Nov 12. doi: 10.1007/s40292-025-00751-8.', 'Ewha Med J. 2025 Oct;48(4):e56. doi: 10.12771/emj.2025.00850. Epub 2025 Oct 20.', 'J Health Popul Nutr. 2025 Nov 11;44(1):394. doi: 10.1186/s41043-025-01058-z.', 'High Blood Press Cardiovasc Prev. 2025 Nov 14. doi: 10.1007/s40292-025-00750-9.', 'Front Med (Lausanne). 2025 Oct 29;12:1630160. doi: 10.3389/fmed.2025.1630160.', 'JMA J. 2025 Oct 15;8(4):1240-1249. doi: 10.31662/jmaj.2025-0037. Epub 2025 Aug 1.', 'Curr Hypertens Rev. 2025 Oct 16. doi: 10.2174/0115734021408764250929235308.', 'Front Med (Lausanne). 2025 Oct 29;12:1630160. doi: 10.3389/fmed.2025.1630160.', 'Inn Med (Heidelb). 2025 Nov 9. doi: 10.1007/s00108-025-02016-x.', 'J Hypertens. 2025 Sep 18. doi: 10.1097/HJH.0000000000004156.', 'J Gen Intern Med. 2025 Nov 12. doi: 10.1007/s11606-025-10022-w.', 'JACC Adv. 2025 Nov 4:102306. doi: 10.1016/j.jacadv.2025.102306.', 'Ther Adv Respir Dis. 2025 Jan-Dec;19:17534666251390070. doi:', 'Eur J Case Rep Intern Med. 2025 Oct 24;12(11):005856. doi: 10.12890/2025_005856.', 'High Blood Press Cardiovasc Prev. 2025 Nov 14. doi: 10.1007/s40292-025-00750-9.', 'Front Med (Lausanne). 2025 Oct 29;12:1630160. doi: 10.3389/fmed.2025.1630160.', 'Hypertens Res. 2025 Nov 14. doi: 10.1038/s41440-025-02459-7.', 'Front Public Health. 2025 Oct 29;13:1664189. doi: 10.3389/fpubh.2025.1664189.']","['High Blood Press Cardiovasc Prev. 2025 Nov 12. doi: 10.1007/s40292-025-00751-8.', 'J Health Popul Nutr. 2025 Nov 11;44(1):394. doi: 10.1186/s41043-025-01058-z.', 'Front Med (Lausanne). 2025 Oct 29;12:1630160. doi: 10.3389/fmed.2025.1630160.', 'Inn Med (Heidelb). 2025 Nov 9. doi: 10.1007/s00108-025-02016-x.', 'J Hypertens. 2025 Sep 18. doi: 10.1097/HJH.0000000000004156.']",20,5,5,0,0,0.3333333333333333,0.2,0.4,0.4,0.3,0.6,0.3333333333333333,0.3884415584415585
Compare ACE inhibitors and ARBs,"['J Hypertens. 2025 Sep 18. doi: 10.1097/HJH.0000000000004156.', 'J Hypertens. 2025 Sep 18. doi: 10.1097/HJH.0000000000004156.', 'J Thorac Dis. 2025 Oct 31;17(10):7594-7605. doi: 10.21037/jtd-2024-2237. Epub', 'J Gen Intern Med. 2025 Nov 12. doi: 10.1007/s11606-025-10022-w.', 'Hematol Rep. 2025 Oct 18;17(5):54. doi: 10.3390/hematolrep17050054.', 'Int J Surg. 2025 Nov 5. doi: 10.1097/JS9.0000000000003675.', 'J Emerg Med. 2025 Jul 8;79:288-304. doi: 10.1016/j.jemermed.2025.07.022.', 'Circulation. 2025 Nov 13. doi: 10.1161/CIRCULATIONAHA.125.073322.', 'J Thorac Dis. 2025 Oct 31;17(10):7594-7605. doi: 10.21037/jtd-2024-2237. Epub', 'J Thorac Dis. 2025 Oct 31;17(10):7594-7605. doi: 10.21037/jtd-2024-2237. Epub', 'Circulation. 2025 Nov 13. doi: 10.1161/CIRCULATIONAHA.125.073322.', 'J Clin Med. 2025 Oct 28;14(21):7635. doi: 10.3390/jcm14217635.', 'J Gen Intern Med. 2025 Nov 12. doi: 10.1007/s11606-025-10022-w.', 'Metabolism. 2025 Nov 7:156433. doi: 10.1016/j.metabol.2025.156433.', 'Lancet Diabetes Endocrinol. 2025 Dec;13(12):1041-1053. doi:', 'Curr Med Res Opin. 2025 Sep;41(9):1715-1721. doi: 10.1080/03007995.2025.2579422.', 'Intest Res. 2025 Nov 10. doi: 10.5217/ir.2025.00058.', 'Metabolism. 2025 Nov 7:156433. doi: 10.1016/j.metabol.2025.156433.', 'JAMA Cardiol. 2025 Nov 12:e254151. doi: 10.1001/jamacardio.2025.4151.', 'BMC Cardiovasc Disord. 2025 Nov 7;25(1):791. doi: 10.1186/s12872-025-05275-6.']","['J Hypertens. 2025 Sep 18. doi: 10.1097/HJH.0000000000004156.', 'J Hypertens. 2025 Sep 18. doi: 10.1097/HJH.0000000000004156.']",20,2,1,1,0.5,0.3333333333333333,0.5,0.2,0.5,0.1,0.5,1,0.5
What are the contraindications for metformin?,"['Lancet Psychiatry. 2025 Dec;12(12):893-905. doi: 10.1016/S2215-0366(25)00273-1.', 'Diabetes Obes Metab. 2025 Nov 14. doi: 10.1111/dom.70278.', 'J Diabetes Metab Disord. 2025 Jul 29;24(2):180. doi: 10.1007/s40200-025-01689-3.', 'Biomed Pharmacother. 2025 Nov 11;193:118743. doi: 10.1016/j.biopha.2025.118743.', 'J Diabetes Metab Disord. 2025 Jul 29;24(2):180. doi: 10.1007/s40200-025-01689-3.', 'J R Soc Med. 2025 Nov 3:1410768251375906. doi: 10.1177/01410768251375906.', 'Front Endocrinol (Lausanne). 2025 Oct 21;16:1703958. doi:', 'Medicine (Baltimore). 2025 Oct 24;104(43):e45112. doi:', 'Medicine (Baltimore). 2025 Nov 7;104(45):e44989. doi:', 'Cancers (Basel). 2025 Nov 6;17(21):3579. doi: 10.3390/cancers17213579.', 'J Diabetes Res. 2025 Nov 3;2025:6656982. doi: 10.1155/jdr/6656982. eCollection', 'Cancers (Basel). 2025 Nov 6;17(21):3579. doi: 10.3390/cancers17213579.', 'JCEM Case Rep. 2025 Nov 10;3(12):luaf268. doi: 10.1210/jcemcr/luaf268.', 'Lancet Psychiatry. 2025 Dec;12(12):893-905. doi: 10.1016/S2215-0366(25)00273-1.', 'Cancers (Basel). 2025 Nov 6;17(21):3579. doi: 10.3390/cancers17213579.', 'Medicine (Baltimore). 2025 Oct 24;104(43):e45112. doi:', 'Medicine (Baltimore). 2025 Nov 7;104(45):e44989. doi:', 'Sci Rep. 2025 Nov 12;15(1):39731. doi: 10.1038/s41598-025-23404-1.', 'Biomed Pharmacother. 2025 Nov 11;193:118743. doi: 10.1016/j.biopha.2025.118743.', 'Womens Health (Lond). 2025 Jan-Dec;21:17455057251376883. doi:']",[],20,0,0,0,0,0,0,0,0,0,0,0,0
How does chronic kidney disease affect drug metabolism?,"['Ren Fail. 2025 Dec;47(1):2575434. doi: 10.1080/0886022X.2025.2575434. Epub 2025', 'Indian J Pharmacol. 2025 Nov 1;57(6):371-379. doi: 10.4103/ijp.ijp_66_24. Epub', 'Probiotics Antimicrob Proteins. 2025 Nov 11. doi: 10.1007/s12602-025-10804-y.', 'Int J Mol Sci. 2025 Oct 30;26(21):10563. doi: 10.3390/ijms262110563.', 'Ren Fail. 2025 Dec;47(1):2584751. doi: 10.1080/0886022X.2025.2584751. Epub 2025', 'BMC Nephrol. 2025 Nov 12;26(1):630. doi: 10.1186/s12882-025-04571-9.', 'Int J Mol Sci. 2025 Oct 28;26(21):10463. doi: 10.3390/ijms262110463.', 'Ophthalmol Sci. 2025 Sep 23;6(1):100945. doi: 10.1016/j.xops.2025.100945.', 'Int J Mol Sci. 2025 Nov 3;26(21):10706. doi: 10.3390/ijms262110706.', 'J Clin Med. 2025 Nov 2;14(21):7789. doi: 10.3390/jcm14217789.', 'Diabetes Metab Res Rev. 2025 Oct;41(7):e70092. doi: 10.1002/dmrr.70092.', 'Front Med (Lausanne). 2025 Oct 29;12:1630160. doi: 10.3389/fmed.2025.1630160.', 'Front Nephrol. 2025 Oct 27;5:1630718. doi: 10.3389/fneph.2025.1630718.', 'Korean J Intern Med. 2025 Nov;40(6):876-889. doi: 10.3904/kjim.2025.099. Epub', 'Biomed Rep. 2025 Oct 21;23(6):194. doi: 10.3892/br.2025.2072. eCollection 2025', 'Front Med (Lausanne). 2025 Oct 9;12:1625417. doi: 10.3389/fmed.2025.1625417.', 'Probiotics Antimicrob Proteins. 2025 Nov 11. doi: 10.1007/s12602-025-10804-y.', 'Cochrane Database Syst Rev. 2025 Nov 13;11(11):CD015907. doi:', 'Int Urol Nephrol. 2025 Nov 13. doi: 10.1007/s11255-025-04898-0.', 'Pediatr Nephrol. 2025 Nov 12. doi: 10.1007/s00467-025-07017-4.']",['Indian J Pharmacol. 2025 Nov 1;57(6):371-379. doi: 10.4103/ijp.ijp_66_24. Epub'],20,1,1,0,0,0.3333333333333333,1,0.2,1,0.1,1,0.5,0.5
Explain the mechanism of action of statins,"['Curr Atheroscler Rep. 2025 Nov 13;27(1):114. doi: 10.1007/s11883-025-01358-z.', 'ChemistryOpen. 2025 Nov 10:e202500533. doi: 10.1002/open.202500533.', 'Curr Atheroscler Rep. 2025 Nov 13;27(1):114. doi: 10.1007/s11883-025-01358-z.', 'ChemistryOpen. 2025 Nov 10:e202500533. doi: 10.1002/open.202500533.', 'Chronic Obstr Pulm Dis. 2025 Nov 10. doi: 10.15326/jcopdf.2025.0632.', 'Curr Atheroscler Rep. 2025 Nov 13;27(1):114. doi: 10.1007/s11883-025-01358-z.', 'Hinyokika Kiyo. 2025 Oct;71(10):333-336. doi: 10.14989/ActaUrolJap_71_10_333.', 'Cardiol Rev. 2025 Nov 8. doi: 10.1097/CRD.0000000000001122.', 'Curr Atheroscler Rep. 2025 Nov 13;27(1):114. doi: 10.1007/s11883-025-01358-z.', 'Cell Death Discov. 2025 Nov 6;11(1):505. doi: 10.1038/s41420-025-02749-6.', 'Nutrients. 2025 Oct 29;17(21):3394. doi: 10.3390/nu17213394.', 'Proc Natl Acad Sci U S A. 2025 Nov 18;122(46):e2515072122. doi:', 'Cell Death Discov. 2025 Nov 6;11(1):505. doi: 10.1038/s41420-025-02749-6.', 'Front Cardiovasc Med. 2025 Oct 29;12:1612095. doi: 10.3389/fcvm.2025.1612095.', 'ChemistryOpen. 2025 Nov 10:e202500533. doi: 10.1002/open.202500533.', 'Front Pharmacol. 2025 Oct 29;16:1690513. doi: 10.3389/fphar.2025.1690513.', 'J Comput Aided Mol Des. 2025 Nov 8;39(2):119. doi: 10.1007/s10822-025-00703-3.', 'Cardiol Rev. 2025 Nov 8. doi: 10.1097/CRD.0000000000001122.', 'Cell Death Discov. 2025 Nov 6;11(1):505. doi: 10.1038/s41420-025-02749-6.', 'Clin Exp Gastroenterol. 2025 Nov 7;18:277-290. doi: 10.2147/CEG.S545373.']","['ChemistryOpen. 2025 Nov 10:e202500533. doi: 10.1002/open.202500533.', 'Curr Atheroscler Rep. 2025 Nov 13;27(1):114. doi: 10.1007/s11883-025-01358-z.', 'Curr Atheroscler Rep. 2025 Nov 13;27(1):114. doi: 10.1007/s11883-025-01358-z.', 'Cardiol Rev. 2025 Nov 8. doi: 10.1097/CRD.0000000000001122.', 'Cell Death Discov. 2025 Nov 6;11(1):505. doi: 10.1038/s41420-025-02749-6.', 'ChemistryOpen. 2025 Nov 10:e202500533. doi: 10.1002/open.202500533.']",20,6,4,1,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,0.4,0.6666666666666666,1,0.46249999999999997
What are the diagnostic criteria for sepsis?,"['Syst Rev. 2025 Nov 12;14(1):222. doi: 10.1186/s13643-025-02979-w.', 'Life (Basel). 2025 Oct 10;15(10):1576. doi: 10.3390/life15101576.', 'Digit Health. 2025 Nov 10;11:20552076251389389. doi: 10.1177/20552076251389389.', 'Syst Rev. 2025 Nov 12;14(1):222. doi: 10.1186/s13643-025-02979-w.', 'Syst Rev. 2025 Nov 12;14(1):222. doi: 10.1186/s13643-025-02979-w.', 'Intensive Care Med Exp. 2025 Nov 14;13(1):114. doi: 10.1186/s40635-025-00808-x.', 'Biomark Med. 2025 Nov 14:1-9. doi: 10.1080/17520363.2025.2590782.', 'Clin Lab. 2025 Nov 1;71(11). doi: 10.7754/Clin.Lab.2025.250410.', 'Front Immunol. 2025 Oct 28;16:1692077. doi: 10.3389/fimmu.2025.1692077.', 'Life (Basel). 2025 Oct 10;15(10):1576. doi: 10.3390/life15101576.', 'Healthcare (Basel). 2025 Oct 23;13(21):2686. doi: 10.3390/healthcare13212686.', 'Healthcare (Basel). 2025 Oct 23;13(21):2686. doi: 10.3390/healthcare13212686.', 'Syst Rev. 2025 Nov 12;14(1):222. doi: 10.1186/s13643-025-02979-w.', 'PLoS One. 2025 Nov 14;20(11):e0333675. doi: 10.1371/journal.pone.0333675.', 'Digit Health. 2025 Nov 10;11:20552076251389389. doi: 10.1177/20552076251389389.', 'Shock. 2025 Oct 27. doi: 10.1097/SHK.0000000000002744.', 'Digit Health. 2025 Nov 10;11:20552076251389389. doi: 10.1177/20552076251389389.', 'EClinicalMedicine. 2025 Oct 24;90:103574. doi: 10.1016/j.eclinm.2025.103574.', 'BMC Infect Dis. 2025 Nov 12;25(1):1563. doi: 10.1186/s12879-025-11947-7.', 'Zhonghua Shao Shang Yu Chuang Mian Xiu Fu Za Zhi. 2025 Oct 20;41(10):998-1003.']",['Healthcare (Basel). 2025 Oct 23;13(21):2686. doi: 10.3390/healthcare13212686.'],20,1,1,0,0,0,0,0,0,0,0,0.090909091,0.090909091
Describe the management of acute myocardial infarction,"['Sci Rep. 2025 Nov 12;15(1):39645. doi: 10.1038/s41598-025-23262-x.', 'Resuscitation. 2025 Oct;215 Suppl 1:110752. doi:', 'Int J Angiol. 2025 Jul 18;34(4):320-331. doi: 10.1055/a-2645-8838. eCollection', 'J Clin Med. 2025 Nov 4;14(21):7835. doi: 10.3390/jcm14217835.', 'BMJ. 2025 Oct 29;391:e083382. doi: 10.1136/bmj-2024-083382.', 'Lancet. 2025 Nov 9:S0140-6736(25)02170-1. doi: 10.1016/S0140-6736(25)02170-1.', 'Heart Lung Circ. 2025 Nov 5:S1443-9506(25)01623-3. doi:', 'Adipocyte. 2025 Dec;14(1):2586870. doi: 10.1080/21623945.2025.2586870. Epub 2025', 'Heart. 2025 Nov 6:heartjnl-2025-326987. doi: 10.1136/heartjnl-2025-326987.', 'Biomed Khim. 2025 Nov;71(5):342-350. doi: 10.18097/PBMCR1622.', 'Probl Sotsialnoi Gig Zdravookhranenniiai Istor Med. 2025 Dec 15;33(5):1125-1130.', 'Sci Rep. 2025 Nov 7;15(1):39133. doi: 10.1038/s41598-025-24372-2.', 'JB JS Open Access. 2025 Nov 3;10(4):e25.00235. doi: 10.2106/JBJS.OA.25.00235.', 'Circulation. 2025 Oct 21;152(16_suppl_2):S538-S577. doi:', 'Sci Rep. 2025 Nov 12;15(1):39645. doi: 10.1038/s41598-025-23262-x.', 'Cureus. 2025 Nov 9;17(11):e96439. doi: 10.7759/cureus.96439. eCollection 2025', 'Cureus. 2025 Oct 4;17(10):e93840. doi: 10.7759/cureus.93840. eCollection 2025', 'Circulation. 2025 Nov 10. doi: 10.1161/CIR.0000000000001394.', 'Eur Heart J Case Rep. 2025 Oct 3;9(10):ytaf500. doi: 10.1093/ehjcr/ytaf500.', 'J Artif Organs. 2025 Nov 14;29(1):5. doi: 10.1007/s10047-025-01538-3.']","['Sci Rep. 2025 Nov 12;15(1):39645. doi: 10.1038/s41598-025-23262-x.', 'Int J Angiol. 2025 Jul 18;34(4):320-331. doi: 10.1055/a-2645-8838. eCollection', 'Lancet. 2025 Nov 9:S0140-6736(25)02170-1. doi: 10.1016/S0140-6736(25)02170-1.', 'Heart Lung Circ. 2025 Nov 5:S1443-9506(25)01623-3. doi:', 'Biomed Khim. 2025 Nov;71(5):342-350. doi: 10.18097/PBMCR1622.', 'Probl Sotsialnoi Gig Zdravookhranenniiai Istor Med. 2025 Dec 15;33(5):1125-1130.', 'Sci Rep. 2025 Nov 7;15(1):39133. doi: 10.1038/s41598-025-24372-2.', 'Sci Rep. 2025 Nov 12;15(1):39645. doi: 10.1038/s41598-025-23262-x.']",20,8,7,1,0.125,0.6666666666666666,0.25,0.4,0.25,0.5,0.625,1,0.5458603896103896
What are the side effects of chemotherapy?,"['Cancer Rep (Hoboken). 2025 Nov;8(11):e70381. doi: 10.1002/cnr2.70381.', 'Cancer Rep (Hoboken). 2025 Nov;8(11):e70381. doi: 10.1002/cnr2.70381.', 'Support Care Cancer. 2025 Nov 13;33(12):1059. doi: 10.1007/s00520-025-10126-3.', 'Iran J Pharm Res. 2025 Oct 20;24(1):e162962. doi: 10.5812/ijpr-162962.', 'Support Care Cancer. 2025 Nov 13;33(12):1059. doi: 10.1007/s00520-025-10126-3.', 'ANZ J Surg. 2025 Nov 14. doi: 10.1111/ans.70380.', 'ESMO Open. 2025 Nov 11;10(12):105895. doi: 10.1016/j.esmoop.2025.105895.', 'Integr Cancer Ther. 2025 Jan-Dec;24:15347354251382931. doi:', 'Support Care Cancer. 2025 Nov 12;33(12):1053. doi: 10.1007/s00520-025-09973-x.', 'JMIR Res Protoc. 2025 Nov 14;14:e72950. doi: 10.2196/72950.', 'BMC Public Health. 2025 Nov 13;25(1):3931. doi: 10.1186/s12889-025-24408-2.', 'J Integr Med. 2025 Oct 13:S2095-4964(25)00163-3. doi: 10.1016/j.joim.2025.10.004.', 'Front Oncol. 2025 Oct 27;15:1655444. doi: 10.3389/fonc.2025.1655444. eCollection', 'Nutrients. 2025 Oct 24;17(21):3352. doi: 10.3390/nu17213352.', 'BMC Cancer. 2025 Nov 12;25(1):1754. doi: 10.1186/s12885-025-15043-6.', 'BMJ Support Palliat Care. 2025 Nov 9:spcare-2025-005639. doi:', 'Drug Deliv Transl Res. 2025 Nov 12. doi: 10.1007/s13346-025-02013-5.', 'Br J Cancer. 2025 Nov 13. doi: 10.1038/s41416-025-03262-4.', 'Transl Lung Cancer Res. 2025 Oct 31;14(10):4571-4575. doi:', 'Iran J Pharm Res. 2025 Oct 20;24(1):e162962. doi: 10.5812/ijpr-162962.']","['Cancer Rep (Hoboken). 2025 Nov;8(11):e70381. doi: 10.1002/cnr2.70381.', 'Cancer Rep (Hoboken). 2025 Nov;8(11):e70381. doi: 10.1002/cnr2.70381.', 'Support Care Cancer. 2025 Nov 13;33(12):1059. doi: 10.1007/s00520-025-10126-3.', 'Iran J Pharm Res. 2025 Oct 20;24(1):e162962. doi: 10.5812/ijpr-162962.', 'Support Care Cancer. 2025 Nov 13;33(12):1059. doi: 10.1007/s00520-025-10126-3.', 'ANZ J Surg. 2025 Nov 14. doi: 10.1111/ans.70380.', 'ESMO Open. 2025 Nov 11;10(12):105895. doi: 10.1016/j.esmoop.2025.105895.', 'Integr Cancer Ther. 2025 Jan-Dec;24:15347354251382931. doi:', 'Support Care Cancer. 2025 Nov 12;33(12):1053. doi: 10.1007/s00520-025-09973-x.', 'JMIR Res Protoc. 2025 Nov 14;14:e72950. doi: 10.2196/72950.', 'Front Oncol. 2025 Oct 27;15:1655444. doi: 10.3389/fonc.2025.1655444. eCollection', 'BMC Cancer. 2025 Nov 12;25(1):1754. doi: 10.1186/s12885-025-15043-6.']",20,12,10,1,0.083333333,0.6666666666666666,0.16666666666666666,0.6,0.25,0.8,0.6666666666666666,1,0.6236975986975987
How is asthma diagnosed and treated?,"['Rev Prat. 2025 Sep;75(7):732-737.', 'Recent Adv Inflamm Allergy Drug Discov. 2025 Oct 21. doi:', 'Paediatr Respir Rev. 2025 Sep 20:S1526-0542(25)00080-6. doi:', 'Dan Med J. 2025 Oct 15;72(11):A03250213. doi: 10.61409/A03250213.', 'Allergy. 2025 Aug 29. doi: 10.1111/all.70027.', 'Paediatr Respir Rev. 2025 Sep 20:S1526-0542(25)00080-6. doi:', 'J Allergy Clin Immunol Pract. 2025 Oct;13(10):2537-2551. doi:', 'Lancet Respir Med. 2025 Nov;13(11):1011-1025. doi: 10.1016/S2213-2600(25)00256-5.', 'Children (Basel). 2025 Aug 15;12(8):1073. doi: 10.3390/children12081073.', 'Rev Prat. 2025 Sep;75(7):743-747.', 'Semergen. 2025 Oct 23;51(9):102585. doi: 10.1016/j.semerg.2025.102585.', 'Pediatr Pulmonol. 2025 Nov;60(11):e71330. doi: 10.1002/ppul.71330.', 'BMC Complement Med Ther. 2025 Nov 7;25(1):416. doi: 10.1186/s12906-025-05155-8.', 'Zhonghua Nei Ke Za Zhi. 2025 Nov 1;64(11):1026-1054. doi:', 'J Med Internet Res. 2025 Oct 30;27:e78693. doi: 10.2196/78693.', 'Sage Open Pediatr. 2025 Oct 18;12:30502225251380304. doi:', 'Eur Ann Allergy Clin Immunol. 2025 Oct 30. doi: 10.23822/EurAnnACI.1764-1489.419.', 'Pediatr Pulmonol. 2025 Aug;60(8):e71220. doi: 10.1002/ppul.71220.', 'J Asthma. 2025 Nov 7:1-8. doi: 10.1080/02770903.2025.2581789.', 'J Clin Med. 2025 Oct 18;14(20):7368. doi: 10.3390/jcm14207368.']","['Rev Prat. 2025 Sep;75(7):732-737.', 'Paediatr Respir Rev. 2025 Sep 20:S1526-0542(25)00080-6. doi:', 'Allergy. 2025 Aug 29. doi: 10.1111/all.70027.', 'Paediatr Respir Rev. 2025 Sep 20:S1526-0542(25)00080-6. doi:', 'J Allergy Clin Immunol Pract. 2025 Oct;13(10):2537-2551. doi:', 'Children (Basel). 2025 Aug 15;12(8):1073. doi: 10.3390/children12081073.', 'Rev Prat. 2025 Sep;75(7):743-747.', 'BMC Complement Med Ther. 2025 Nov 7;25(1):416. doi: 10.1186/s12906-025-05155-8.', 'Zhonghua Nei Ke Za Zhi. 2025 Nov 1;64(11):1026-1054. doi:', 'J Med Internet Res. 2025 Oct 30;27:e78693. doi: 10.2196/78693.']",20,10,9,1,0.1,0.6666666666666666,0.2,0.6,0.3,0.6,0.6,1,0.5703540903540903
